,Comment
74,@Pk Sarraf ok
75,Not expecting from your vedio..??
76,Don't push yourself too hard
77,@Ayush Thomas ok
78,?? yoo I was cleaning my phone non stop
79,Ok
80,Use THAT cloth buddy. You got it... cause most people don't ??
81,Fix it in post
82,Get a $5 air blaster ??
83,No worries
84,I thought it was my screen and tried wiping it off lol
85,Oh
86,I thought it was dirt on my phone
87,Ight. Plz fix for next time
88,Those who didn't notice or trying to find it again. It's at 3:23 cheers
89,Did anyone else wipe their screen lol
90,I am surprised they didn�t give you one of apples $19 Polishing Cloth to take care of it! ??
91,Space grey is awesome as allways
92,mildly triggering but it's fine by me
93,Just like HDR and 4k
94,Hands up.. Who else was wiping their screens�?
95,mask it buddy
96,Get Space Grey
97,Thanks to add this comment ??
98,Wow.....I am very impressed been a woman I saw some good recommendations about *the name above ??????on telegram I give it a trial but to my greatest surprise I got a cc with high balance from him.thanks buddy..
99,your lens is dirty af bruh
100,didnt they JUST come out with the M1 chip? WTF?
101,Loved the comparison with the M2 Pro. Can't wait for thorough review of new Webcam
102,Midnight colour looks pretty good.
103,M2 Air is far too expensive in Europe compared to the 'older' M1. The gap between the US price and the European is way too extreem. Starts at 1199$ vs 1519� in Europe.
104,Its funny because everybody was hating on apple while steve jobs was alive..... But now they make little affordable gimmicky crap basic consumer electronics
105,POST STEVE JOBS PLANET EARTH IS SHIT. STEVE JOBS IS MISSED. LONG LIVE STEVE JOBS.
106,Isheep
107,OMG APPLE MAKE CHIPS OMG WOWEEE OMG WOW!!!??? WOW OMG..... WHO CARES??? SO??? SO WHAT? SO? LOTS OF COMPANIES MAKE CHIPS. AND LOTS OF COMPANIES MAKE CHIPS WAY WAY WAY BETTER THAN APPLE. SO SO WHAT? HAS THIS MADE APPLE A BETTER COMPANY? NO. IN FACT APPLE GETS WORSE EVERY YEAR THANKS TO THAT MORON JIM CROW OR WHATEVER HIS NAME IS.... AND ALL THERE NEW IMAC IS BASIVALLY A RASPBERRY PI WITH LESS PORTS THAN A RASPBERRY PI... WTF..... OHH GREAT SHINY SHINY ALUMINIUM OOOHHH WOWEEE STONE AGE OHHHHH VERY SHINEY ALUMINIUM BUTT PLUG OHHH WOWEEEE
108,DOES IT HAVE RGB THOUGH??? (F ake A ss G ood G uy )
109,I think it would be an insane upgrade for me
110,space gray
111,marques reviews are simple if the product is mate black its a good product if not
112,Midnight that's mighty
113,"Best color for any MacBook I found is only Silver, it is practical, clean, does not look ""dirty"" as opposed to any other color.,1,Alex B.,2022-06-17T10:16:44Z,0,0.0,0.635,0.1283333333333333;;"
114,Get the starlight!
115,Starlight
116,Why is he wearing a mask? LOL
117,Lets forget USB or SD card ports and put 2 thunderbolt ports on that most people will never use.
118,not gonna lie
119,"This is great! I love the midnight!

I have m1 pro but I�m thinking of getting the m2 air. I am a grad student basically working on my dissertation, and doing video and music editing. What are your thoughts? Thanks in advanced!,1,Emmanuel De Leon,2022-06-17T04:37:14Z,0,0.0,0.5375,0.58125;;"
120,Starlight All The Way
121,Isheep
122,That dust on the lens really hurt my soul
123,Please get midnight
124,Hope you get the one with the most basic spec? I am wondering if that will be sufficient for a normal use.
125,I think Apple kept the 13-inch MacBook Pro design unchanged for the same reason they bumped the MacBook Air price $200: supply chain constraints. They probably cannot make enough M2 MacBook Airs so if you need a computer NOW and there are no new MacBook Airs in stock
126,When can we expect the backlit logo? Is it not coming back?
127,Midnight!
128,They should�ve slapped Pro on the new Air and ditched the so called M2 Pro idea.
129,I was all for this
130,Starlight and midnight both please the colour correction is like shit on Apple�s website
131,Pound for pound it's a rip-off. As Marques has pointed out in other videos
132,"Hey Marques please stop using 18:9 and 21:9 aspect ratio ! On YouTube App user experience is terrible :

For 18:9 videos it cuts into the notch

For 21:9 videos you can�t zoom out,0,manyak971,2022-06-16T18:49:23Z,0,0.0,1.0,-1.0;;"
133,Can you charge with a normal usb c also
134,oh the 2022 MacBook Air came out
135,Apple is studying consumers with this lineup for years to come... even to iPhones
136,They are keeping M2 13� Pro around to �anchor� the price a bit higher and make us feel like the M2 air is a better deal
137,I Have blog mentioned.. Here it's safe ..  have some online shopping banners I have provided.continues monthly needs continued
138,It's ridiculous that Apple carried the single external display restriction forward. It's a huge regression from the Intel-based Macs
139,Hi could you please make a video on iPhone 11 Pro now?
140,Who the hell uses Thunderbolt? So
141,Yeah�Midnight for sure��.
142,Why is MagSafe a better alternative to USB-C? It seems like a step back for me
143,I'm really into the midnight
144,Will the new M2 mac air book come with Pro motion or enhanced frame rate?
145,Midnight all the way even if you have to wipe it down like a Apple genuine at a Apple store every hour.
146,That blue-black is candy to me. I�ll deal with the fingerprints.
147,"I still have the 2015 13"" MacBook pro. It does everything that I need, but that gold-colored m2 MacBook air looks nice. I wish they made a 16"" version.,1,David 01,2022-06-16T13:27:55Z,0,0.0,1.0,0.6;;"
148,don't like the notch
149,Silver is the best. Just classic.
150,Midnight
151,then you see the surface line which hasn't been updated since it's existence...
152,Try starlight
153,starlight. Too bad Apple did not also make bright colors like the iMac
154,bummed about the fingerprints on that midnight one.
155,LCD display in 2022? No
156,damn
157,midnight with a dbrand skin on it.
158,I personally don't mind the prints. You really can't escape prints regardless
159,Good stuff�.
160,It's so sleek and lovely. I wish I could afford it
161,"Tim Cook is just desperate to keep using old parts! its so sad to see. Steve jobs wouldn't still have the MacBook pro13"" iPhone SE and iPad with a home button. apple needs a new ceo! JONNY IVE!!!,0,Mark Roberts,2022-06-15T22:00:46Z,0,0.0,0.6636363636363637,-0.1605202414772727;;"
162,silver
163,get the midnight so you can get longer expirience with this color
164,Not 1 usb
165,I did not expect it to be like that
166,Contemplating getting this or the M1 max MacBook Pro.. thoughts
167,Kindly consider reviewing in Starlight. pls.
168,I really wish Apple would combine the MacBook Air and the iPad Pro into a single product. They pretty much have the same guts. Let it run in Mac mode if it detects a physical keyboard
169,Fail.
170,starlight!!
171,midnight with a dbrand skin on it.
172,It is difficult not to like your videos
173,midnight blue is cool. the fingerprint does not bother on me
174,"Nice video thank you!
I myself actually do not have a MacBook and am now considering buying one. For me the MacBook Air M2 visually very chic especially in the dark color. What�s also very charming is the MacBook is very light in weight and has no active cooling. So it is completely silent. However, I don't know how the performance would be without active cooling if I were to take part in a meeting with the camera activated via teams or use Final Cut from time to time....

If I hadn't seen some comparison videos now, I would buy MacBook Air M2 in the midnight color and additionally selected the larger GPU (10-core) incl. 16 GB RAM and 1 terabyte SSD. That would put the price at 2309 EUR. But now some say that you can directly get the MacBook Pro 14 inch, because I it costs 170 EUR more I guess and has more power and active cooling.
Now I am undecided ??.
I would use the MacBook privately and sometimes for work: Surfing, do office work (Word, Excel or even sometimes participate in meetings via teams) very rarely edit music or edit the one or other video with Final Cut.
I think the MacBook Air M2 with my configuration is enough, right?,1,Ali,2022-06-15T17:44:36Z,0,0.0,0.6043506493506494,0.1673051948051948;;"
175,This will sound petty
176,Damn just got a m1 air few months ago
177,Silver with a pastle green Dbrand skin on the lid would be my go to! ??
178,???????? ?????. ????? ??????? 2 ?????? ? ?????? ? ???????? ? ?1
179,"Given inflation, ""not drop in price"" is the new ""drop in price"",1,MondVogel,2022-06-15T16:27:37Z,0,0.0,0.4545454545454545,0.1363636363636363;;"
180,Great� now I don�t know which MacBook to get.
181,excellent video
182,The Midnight color looks like the old iPhone 5 with the black color.
183,What a proffesional youtuber ;) ??
184,It is time to come back to Silver
185,I have no idea why they bothered with the M2 Pro. Odd choice!
186,Space greyyyyyyyyyyyyyyyyy
187,"???? Message him, LEARN to Cart and get 5 apple Mac and Iphone for Free 100%.

For just $1,500. Payment in Usdt.,1,��? ??� ???? ???? Shalom,2022-06-15T12:38:59Z,0,0.0,0.8,0.4;;"
188,Space gray of course
189,I�d still get the �midnight�.
190,Yes this is genuine hack and works as promised in my case. Thank you very much.
191,You can only connect one monitor to the air
192,I wonder if you connect both MagSafe and usb-c from the Dual USBC charger
193,I always get silver.
194,get the starlight pls
195,the notch is stupid.....ever
196,I'm looking forward to the next generation where they remove the webcam entirely and just ship a MagSafe iPhone bezel-edge mount so you can choose when to have a camera pointed at your face.
197,I noticed there were already some scuffing around the thunderbolt ports on the black MacBook Air M2 in this video... Personally
198,starlight or silver btw as always. I would love to see white keyboard or even all white MacBook. maybe someday.
199,Idk why but the midnight looks so amazing
200,One thing everyone is forgetting is that the M1 camera sucked..... Royallllllyyyyy!!!
201,Thunderbolt 3 vs thunderbolt 4 in pro. Also pro cooling is important as hell
202,"Apple is having a really interesting moment right now, which is almost a throw back to when h/w releases were more numerous and often. This is the 3rd significant update to the MBA after being dormant for ever: Fall 2018 MBA Retina + 16G RAM, Fall 2020 MBA M1 and now Spring 2022, 24G capable MBA M2. Like wow. Love it. Add the rest of the lineup, and it's really just an issue of ""embarrassment of riches"" or ""panoply of plenty"". There is so much good h/w right now. ??. I still think that 2 USB-C ports isn't much in modern day content work. You'll want a good QUALITY powered dock.,1,Mariya 0ver L!ve,2022-06-15T05:26:09Z,13,0.0,0.4764285714285713,0.3030952380952381;;"
203,so happy to see you're making videos!!
204,Interesting is the pricing. Only 100 USD more than the air. Next year there will be a 12 inch...I'm still enjoying my 2015 retina pro got magsafe
205,"Does the new Macbook ""Pro"" stil have a paper thin lid that bends/creases, scissor keys stick and fail, lower bezel crack easily???,0,Damon J,2022-06-15T04:19:48Z,0,0.0,0.609469696969697,-0.0825757575757575;;"
206,Would be a good buy if not for a stupid notch. Don't wanna use device with one
207,I enjoyed my m1 MacBook Air more than my Pro. I�m looking forward to the M2
208,You have to go midnight. Trust me you won�t regret it.
209,damn shame�That midnight color is pure ??
210,I vote for starlight
211,The Air has no fans (ironically)... so not best for editing videos a lot.... if you do
212,"the sensor/lens dust is hurting me but still crisp... amazing quality

Edit: I only pointed it out because even Marques who is the hands on highest quality youtube producer is human after all and I wanted to show emphathy.,1,Raelynn ?? 29 y.0 -check My V!deo,2022-06-15T02:33:32Z,0,0.0,0.6041666666666666,0.2125;;"
213,M2 Macbook pro exists to prove M2 Air is better ??  Marketing strategy.
214,Please stop with the slight zoom in to emphasize a point
215,"I just hated the new Apple's design, so I'm the one choosing the 13"" Macbook Pro M2! so glad they are keeping the touch bar and the old design! it's so beautiful!,1,Renato N. Conti,2022-06-15T01:07:49Z,0,0.0,0.6709090909090909,0.179090909090909;;"
216,Price definitely has to do something with inflation.
217,Missed touch bar ????
218,I�m excited for this�. But� I was so hoping for the fun colors� maybe they�ll release more models with the fun colors and white keyboard??? ????????????
219,Go Starlight!
220,Biggest disadvantage: �it still supports only 1 external display�.. so unfortunate..
221,I loved it. I wish I had one to study on
222,"Yeah the M2 MBP is not appealing to me, but I'm sure someone wants the Touch Bar.   I personally hate the notch.   Just seems like a compromise that shouldn't be necessary on a laptop.   For the iPhone I kinda understand.   I'm still happy with my old 2015 16"" MBP.   I'll be hanging on to that, hoping the notch will eventually disappear....,1,P's Channel,2022-06-14T23:03:46Z,1,0.0,0.6555555555555557,0.0785714285714285;;"
223,fuckk i wanna sell my 2019 pro and get the new blueish air
224,the fact they keep switching the charging ports and chargers so you have to keep buying new ones is so ridiculous
225,??
226,I think you should get the space gray� But only because if you decide to do a giveaway that�s the color I want
227,i don't get why does apple have so many color options for imacs and iphones and no color at all for macbooks
228,worried the speaker quality especially high frequency
229,Thanks !
230,Please consider space grey
231,Can I have This With Free shipping?
232,I use apple mac pro m1 1tb 10 inch for creating video in 4k for my youtube channel. I think apple on m1 is really great computer. I don't need another computer for years. And in 4-5 years apple maybe create M5
233,Very nice 
234,No USB ports? Wow
235,The starlight might be super cool ??
236,Am I the only one that prefers the silver MacBooks ??????
237,My favorite color is gold://
238,starlight!
239,The 2018 MacBook Air design really didn't last long all things considered. I liked it.
240,really interested in Starlight? wondering how this color looks like in real world
241,Star light
242,damn its so confusing to think of buying one ha ha
243,Man
244,I have the m1 macbook air and i'll be getting this new one for sure.
245,is this guy oblivious to apples price grabbing strategy ??
246,most ugly front display design ever seen
247,I've lost my MacBook pro for some reason It didn't want to boot anymore or turn on everytime I'm taking it to an expert that can fix it after 3 months I return to him and he said to me that he didn't found the problem yet after 3 months or more I've come Back to him the same thing happened he didn't found the problem. I'm actually don't know what to do anymore if someone can help with anything put a comment.
248,�anything BUT silver� how dare you.
249,Space grey seems to be a better option to buy and test as it is preferred by most people and your reviews matter to the buyers considering space grey colour.
250,I am watching this on a Thinkpad p14s and I can tell even if you gave me this for free I would hate it and never use it
251,MagSafe is not a bonus as I both charge and upstream my MacBook Pro 13 to my external monitor with the USB C which not only passes data but allows me to use the ports on my monitor for peripherals/memory sticks/camera etc.  If I'm using MagSafe to charge and want the functionality of my external monitor I will still need to connect a USB C to my monitor still only leaving 1 open port
252,"C'mon guys, seriously, get some life 1st, then try to create something realy good.

* open your eyes *

American IT companies collecting data, trying to create Infinite Tsukuyomi using their stupidity in favour of their profit. Stupid CEOs and even more stupid CTOs .. trying to run away from reality, pretending that it is for good thing. I'm Looking at YOU Google, Apple, Facebook, Microsoft .... GNU/Linux is far more superior .. so is Plan 9 .,1,0rsz,2022-06-14T12:53:37Z,0,0.0,0.688888888888889,0.0555555555555555;;"
253,Shouldnt they put amoled ?
254,Midnight
255,"i kinda wanna see the midnight one still... :""))),0,Elst ??,2022-06-14T12:37:50Z,0,0.0,0.0,0.0;;"
256,What a vague ending. Please review them properly.
257,"I�m surprised by the dearth of color options. The fact that they can justify 7 colors for the iMac but only have 4 for the MacBook Air implies they think they�re going to sell almost twice as many iMacs�and that just sounds odd. I was really expecting the new Airs to match the iMacs (and was planning on buying a purple Air to replace my 2015, if so). 
I wonder if they�re going to start doing off-cycle additional color options, like they�ve done for the iPhone the last few years?,1,Eliana ?????? ???? ???? ?????????????? [??!????],2022-06-14T11:44:45Z,1,0.0,0.4339015151515152,0.0712121212121212;;"
258,not only did they not change the design to match the colourful iMacs like some leaks said they also cut the gold colour option and the usbc ports are still both on the same side :(
259,directly at it.
260,"The Mac lineup is so confusing these days�

To me, this MacBook Air should have been called just �MacBook�.
Save Air for a thinner wedge shape.

5 or so years ago we saw an under specced 12� MacBook that was thinner and lighter than an air, yet had a better retina screen� only to be discontinued.

I just don�t understand the naming strategy or price banding that seems designed to confuse consumers and create these weird outliers like the M2 MacBook Pro.,0,ThE-UnKO-LeMa,2022-06-14T11:15:04Z,0,0.0,0.725,-0.075;;"
261,And in Ireland the MacBook Air is going to be a rip off compared to the rest of the world
262,Apple adx notch in macbook 
263,MacBook Pro and MacBook Air models
264,Russia will win. Russia always wins! USA will be destroyed.
265,If only they would do a graphite MacBook Pro ...
266,starlight
267,+1 Starlight
268,Get starlight
269,What's with the non iron t-shirt
270,Yeah the pricing is ridiculous. A bit like iPad mini - it�s cute
271,I think Midnight is the colour you should prefer (as per my opinion).
272,thank you so much for posting these good videos
273,"Genuinely the insight I was needing, thanks MB! Looking to replace my 2017 MBP & 2019 IPP for a single ""Silver bullet"". I've always been a Silver/Space Grey option guy (ALWAYS) but Midnight instantly caught my eye. After your review I have to agree that the constant cleaning and eventual damage/imperfections from using ports will drive me insane.

On the subject of RAM though, I was going to aim mid-tier at 16Gb but would you recommend spending the extra �200 for the 24Gb? The machine is mainly creating presentations/gfx, email, accessing cloud services and creating the odd video. Better to have it and not need it OR just a complete waste of cash?,0,Mick Pittman,2022-06-14T07:11:19Z,8,1.0,0.3522108843537416,-0.0170068027210884;;"
274,16gb should be enough
275,"I feel like Apple purposefully kept the mM1 MacBook air for 999 to push people to buy the new M2 MacBook Air. And then purposefully placed the M2 MacBook Pro to push people to buy the M1 Pro MacBook Pro 2021 model. 

That's the only reason I can think of why they did this. Also they might had some leftover MacBook Pro 13 inches with the older design and they just wants to make use of it. Just like they are doing with the iPhone SE line up lol.

I mean it works both ways. Tech enthusiastic people knows that no point of getting the MacBook Pro 13 inches but general people don�t think much instead they just look at the model and release day, like �2022 new model�  say�s on the website..,1,Angelo Peiris,2022-06-14T07:02:57Z,0,0.0,0.5329924242424242,0.1976893939393939;;"
276,I think I know what 'm going to get then BAM. Anyway thank you! ??
277,Starlight
278,Marques getting a hands on his midnight madness ??
279,I'm getting a black one.
280,No touch screen?
281,Get midnight and wear rubber gloves.
282,no hdmi
283,My 13 Pro Max and my iPad Pro are both Space Grey and I am very happy with color. You will like Space Grey
284,"??????????????????????????????????????       *Because of  love. God sent His Son Jesus Christ to die in our place. Three days later. Rose him  from the dead.*   *Now. By Jesus Christ alone. God has granted us the free gift of eternal life. He will save and heal you.*  *If you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead* *He'll give you eternal life*
*(Look up at the sky and ask God)*,1,Chloe Manchestor,2022-06-14T04:14:28Z,0,0.0,0.525,0.1833333333333333;;"
285,LMAO anything but silver
286,about the colour why you just hate the silver??
287,Damn I bought m1 air last month��
288,if you don't have a MagSafe cord can you still charge with the usbc ports?
289,m1 pro macbook 14 vs m2 macbook air?
290,Is it my imagination or does it look like the 2021 14 inch macbook pro?
291,starlight
292,Sd card slot would�ve made this the perfect MacBook for me
293,Please help me to study in ubroad bro ??????
294,let me have some money
295,Thank you for this video. I am super excited for this computer!  Do you know when they will be released!?!?
296,My only gripe is that the headphone jack is on the right
297,4:56 That�s 20% hyper inflation for you. Coo-cook!
298,Touch Bar m2 all day
299,not a fan of the notch on the computers at all
300,wash your hands
301,I recommend midnight but with a clear cover so one doesn't see fingerprints. I think midnight is very cool
302,"Apple is having a really interesting moment right now, which is almost a throw back to when h/w releases were more numerous and often. This is the 3rd significant update to the MBA after being dormant for ever: Fall 2018 MBA Retina + 16G RAM, Fall 2020 MBA M1 and now Spring 2022, 24G capable MBA M2. Like wow. Love it. Add the rest of the lineup, and it's really just an issue of ""embarrassment of riches"" or ""panoply of plenty"". There is so much good h/w right now. ??. I still think that 2 USB-C ports isn't much in modern day content work. You'll want a good QUALITY powered dock.,1,Henri Helvetica,2022-06-13T23:55:56Z,11,1.0,0.4764285714285713,0.3030952380952381;;"
303,"This comes down to so many factors, but i mostly identify it with really good competition and consumers who are relatively well educated on what features they do and don't want. 

Before, people bought apple just because they were apple, but also because they just made really good products where competitors were lacking (solid laptops and phones). Now, the competitors have really caught up, are offering diverse lineups, and their price points make even the biggest apple fanboy think twice. So they're pulling into full gear trying to genuinely offer competitive products.,1,Hossam Khattab,2022-06-15T22:05:31Z,0,,0.3838888888888889,0.3194444444444445;;"
304,please do midnight
305,You can game on a MacBook Pro ????
306,Another solid video. Thanks for the nugget about the midnight color
307,Macbook air is the best seller and the regular iphones too.. the pro ate loosing its glory!
308,The lack of dual monitor support in the 2nd generation M2 is alarming. How is this possible? This is a core thing required by many people that use their laptop for work.
309,There are workarounds using 3rd party multi-display docks with displaylink drivers if you really need to dual monitor on an M1/M2 mac. Dual monitor support is only natively supporting on M1 pro and M1 pro max Macs. It's actually quite uncommon for a laptop to have dual monitor support due to graphic card limitations in a laptop
310,space grey please??
311,It�s really nice ?? color ??????
312,space grey...
313,Nobody talking about the notch !  Tim should just fire their design team !
314,I hope that they use this color scheme for the upcoming M2 IPad Pro coming out later this year.
315,I wonder if the fingerprints marks is the same across all other colors. It seems to me that MBP will be change as many other comments below. I personally like the wedge design which makes the MBAir look different and unique. yeah the colors are cool but wait and see
316,What about the batteries cells? How do these behave in the new model? I have read from time to time about people experience overheating problems particularly when the MacBook Pros were for too many hours on the cable.
317,In europe its 1500 for the m2 while the m1 costs 999 like its not worth 500 euros extra for 18 procent performance
318,I thought they got rid of the Touch Bar forever?
319,ooooft the sensor dust is tasty!
320,Midnight would be my first choice too
321,I always go silver as it's the only available OG MacBook color.
322,Starlight
323,BLUE!!!!
324,Yeah I was not pleased that the new pro only has two ports
325,I am tired of seeing Apple on here.
326,???..... ????!
327,Why only one external display? makes no sense. Having two displays is standard for a lot of people.
328,Why anything but silver? I think silver is THE best and classic! Also space grey is overrated
329,Lol they put a headphone jack on a laptop but not on their phones
330,actually deliver.
331,Can you charge the Air through the USB C port?
332,"We really need a different company's chip to compete with the M1.
Apple shows us what they do when they don't have real competition: They raise prices and don't bring down prices for old products.,1,Pesthuf,2022-06-13T16:56:54Z,5,1.0,0.3177777777777778,0.0688888888888888;;"
333,Reading this made me realize how hard that would be. Apple has such a strong loyal fanbase who would keep buying apple no matter what price. MacBook users never call it a laptop and have a pet peeve if someone does. I really hope samsung
334,Still going for windows gaming laptops.
335,NICE AWES0ME KEEP_IT_UP!
336,This lineup sucks... Pretend you are a student and get the student discount on the old air and that's plenty good
337,I'd go for the midnight one ??
338,they should just have one macbook with different specs
339,Better to sait until the m1 air is removed and apple can drop the prices on the new air.
340,"Am I the only one who is really not a fan of the new design? 
I would prefer the old MacBook Air all day,1,Armer Schluca,2022-06-13T16:23:18Z,0,0.0,0.4636363636363636,0.034090909090909;;"
341,i like the midnight color so bad!!!!
342,Space gray pls??
343,Honestly if you have the budget then the speakers
344,Give me a 15 inch MacBook Air and I�ll buy it day 1
345,I just bought m1 air and then this came out????????????????
346,??When I get my hands on it? C�mon dawg. Probably made videos on the new stuff
347,Great review. For everyone outside the US
348,0:29
349,I think you should get the starlight and show us how it looks with a different color shifting that I�m hearing about. I think that�s pretty cool
350,NICE AWES0ME KEEP_IT_UP! ????????????????????????????????????????????????????????????????????
351,It is unfortunate that these products are very overpriced outside the US
352,just get the midnight
353,The only thing I'm worrying about this Air 2022 is connecting external display on that. Despite specs of this laptop there is a question will it be throttling and overheating with external display... Will be waiting this kind of tests. Thanks Marques for video!
354,Why is Garmin Watch as expensive as MacBook Air?!!!!!
355,Notch on laptop.
356,You mentioned gaming
357,Anyone else notice it looked like the finish at the edges of the ports looks like it's chipping on the midnight color?
358,The ports is not much of a difference�.
359,"????????????????????, It looks just so awesome!  Can't wait for the M2 ultra...,1,""Claudio AGMFilho, M.D."",2022-06-13T13:22:06Z,1,0.0,1.0,1.0;;"
360,midnight pleasee
361,Hello sir big Fan! Can you please sir donate this laptop for my work ?? if your pocket allow sir
362,"I'm absolutely sure anyone 'witnessing' the 'incredible speed' of m1/m2 is a payed Apple influencer.
Don't understand what the fuss is about. M1/M2 are not fast, they're regular. I have it at home.
The truth is probably closer to:
- It's alright, but Intel based i5 1.5ghz finished 80% of my jobs 5-20x faster with Python.
- Software compability is a huuuge issue, and 'Rosetta2' is crap.
So, if you wanna have a min. 2k $ Pro or min. 1k Air ""m"" based laptop to reliably use for surfing the web,... it's your choice.
This is enthusiast level hardware & software. Not for professional use.,1,video garden,2022-06-13T13:07:30Z,0,0.0,0.5609686609686609,0.0999999999999999;;"
363,As an apple reseller I can answer why the 13' MacBook Pro with M2 is a thing. We almost never have the MacBook Air nor the MacBook Pro 14' on stock
364,Don�t you mean the notchbook
365,Is there any colour coating for the silver colour  macbooks snd other apple products? Or is it just the colour of the bare aluminium? Because even apple tv remote is silver in colour
366,Get the MIDNIGHT so we know if the fingerprint problem is real.
367,Anything but silver ??????????
368,another one..buy buy buy.
369,"What is the OS between Apple and Windows?
Apple OS is like a stone.
Windows OS is like water.,0,Mintrend San,2022-06-13T12:34:00Z,0,0.0,0.0,0.0;;"
370,macbooks are sooooo overpriced!! for that money I have monster of performance laptop :/ So sad u have to pay so much money for only ecosystem.
371,thought my monitor was dirty  from 1:01 to 1:13
372,We see you repping CHS
373,Midnight
374,"The silliest thing is how the color names/tones aren't matching across all devices depending on the year. 
This midnight is like a really cool navy, but if you have a midnight iPhone 13, it's just black. 
From what I've seen from the picture this starlight is a gold color, but again, on the iPhone 13, the starlight is just white. Admittedly on the Ipad air, it kinda looks goldish, but there isn't even a midnight option.
I know it's silly, but it's a peeve for me. I don't have other apple products, but IF I did, I would like the damn colors to match xD Especially considering the price.,0,Ana Castro,2022-06-13T11:55:04Z,1,0.0,0.5555555555555556,-0.0736111111111111;;"
375,you already did midnight so do starlight pls :)
376,Does anyone know what's the Macbook air M1/M2's display's refresh rate? Is it 60Hz or 144Hz etc? Can it playback a 120fps video smoothly? Thank you!
377,New MacBook
378,?????
379,what's a inch ? and a pound ?
380,"And yes the sensor dust is killing me too, but I wasn't about to try to clean the inside of the camera in the middle of a hands-on event,1,Lucy	 ?????? ???? ???? ?????????????? [??!????],2022-06-13T10:51:07Z,0,0.0,0.35,0.1833333333333333;;"
381,Definitely the midnight
382,"I just bought the M1 macbook air the other day and its an amazing piece of kit. Great price, great design. I love how it gets thinner near the track pad.

This m2 looks like they've taken a step back. Yeh so it performs better.. So will the next air they release in a years time.. Its not like you can ever keep up with it.... However the worst thing about this new m2 air is that stupid black bar with the camera that sticks out .. Yes i know it blends with the screen occasionally depending and what apps you open, but i just hate it. I literally switched to a Samsung s22 ultra because i hated that black bar on the iphone.,0,Antoni,2022-06-13T10:42:38Z,0,0.0,0.5456228956228956,-0.0289983164983164;;"
